datetime,datetimeUTC,open,close,high,low,volumn
2012/06/08 00:00:00,2012-06-07T16:00:00,1.25666,1.24816,1.26147,1.24357,145872
2012/06/08 00:00:00,2012-06-07T16:00:00,1.25666,1.24816,1.26147,1.24357,145872
2012/06/09 00:00:00,2012-06-08T16:00:00,1.24815,1.25168,1.25196,1.247385,19939
2012/06/11 00:00:00,2012-06-10T16:00:00,1.2622,1.25042,1.266885,1.248305,122365
2012/06/12 00:00:00,2012-06-11T16:00:00,1.25041,1.24762,1.25295,1.24427,135465
2012/06/13 00:00:00,2012-06-12T16:00:00,1.24762,1.25958,1.26105,1.247275,135481
2012/06/14 00:00:00,2012-06-13T16:00:00,1.25957,1.26082,1.26183,1.25421,131550
2012/06/15 00:00:00,2012-06-14T16:00:00,1.26083,1.26326,1.26472,1.25872,123106
2012/06/16 00:00:00,2012-06-15T16:00:00,1.26325,1.26386,1.266535,1.26241,20172
2012/06/18 00:00:00,2012-06-17T16:00:00,1.26886,1.25778,1.274815,1.25626,125997
2012/06/19 00:00:00,2012-06-18T16:00:00,1.25776,1.26913,1.27088,1.25574,120675
2012/06/20 00:00:00,2012-06-19T16:00:00,1.26912,1.27025,1.27307,1.26621,105762
2012/06/21 00:00:00,2012-06-20T16:00:00,1.27024,1.25853,1.27434,1.25648,150529
2012/06/22 00:00:00,2012-06-21T16:00:00,1.25852,1.25447,1.258935,1.25193,124701
2012/06/23 00:00:00,2012-06-22T16:00:00,1.25447,1.25695,1.25731,1.253865,17700
2012/06/25 00:00:00,2012-06-24T16:00:00,1.25465,1.24786,1.25593,1.24714,80600
2012/06/26 00:00:00,2012-06-25T16:00:00,1.24784,1.24712,1.25306,1.24418,126598
2012/06/27 00:00:00,2012-06-26T16:00:00,1.24711,1.24564,1.25086,1.24454,122212
2012/06/28 00:00:00,2012-06-27T16:00:00,1.24564,1.24322,1.25245,1.240745,131846
2012/06/28 00:00:00,2012-06-27T16:00:00,1.24564,1.24322,1.25245,1.240745,131846
2012/06/29 00:00:00,2012-06-28T16:00:00,1.24323,1.26675,1.2693,1.24138,153890
2012/06/30 00:00:00,2012-06-29T16:00:00,1.26673,1.26673,1.267165,1.264135,20516
2012/07/02 00:00:00,2012-07-01T16:00:00,1.267555,1.25833,1.26809,1.256825,91358
2012/07/03 00:00:00,2012-07-02T16:00:00,1.25836,1.26198,1.26275,1.25592,90632
2012/07/04 00:00:00,2012-07-03T16:00:00,1.26199,1.25256,1.26219,1.25083,82840
2012/07/05 00:00:00,2012-07-04T16:00:00,1.25256,1.23842,1.25449,1.23639,118773
2012/07/06 00:00:00,2012-07-05T16:00:00,1.23843,1.22829,1.24015,1.22806,121502
2012/07/07 00:00:00,2012-07-06T16:00:00,1.22828,1.22878,1.230085,1.22603,18123
2012/07/09 00:00:00,2012-07-08T16:00:00,1.22534,1.22983,1.23172,1.22531,79163
2012/07/10 00:00:00,2012-07-09T16:00:00,1.22982,1.22548,1.23339,1.22355,109318
2012/07/11 00:00:00,2012-07-10T16:00:00,1.22547,1.22436,1.22971,1.22266,89596
2012/07/12 00:00:00,2012-07-11T16:00:00,1.22439,1.21986,1.227465,1.2167,128097
2012/07/13 00:00:00,2012-07-12T16:00:00,1.21987,1.22317,1.225695,1.21625,113603
2012/07/14 00:00:00,2012-07-13T16:00:00,1.22315,1.22494,1.224995,1.22304,10890
2012/07/16 00:00:00,2012-07-15T16:00:00,1.22628,1.22664,1.227455,1.21756,67360
2012/07/17 00:00:00,2012-07-16T16:00:00,1.22663,1.22337,1.231705,1.21893,107414
2012/07/18 00:00:00,2012-07-17T16:00:00,1.22338,1.22605,1.23065,1.22169,119771
2012/07/18 00:00:00,2012-07-17T16:00:00,1.22338,1.22605,1.23065,1.22169,119771
2012/07/19 00:00:00,2012-07-18T16:00:00,1.22606,1.22567,1.23249,1.22293,108255
2012/07/20 00:00:00,2012-07-19T16:00:00,1.22567,1.21756,1.228965,1.21444,127266
2012/07/21 00:00:00,2012-07-20T16:00:00,1.21754,1.21563,1.217675,1.215105,24327
2012/07/23 00:00:00,2012-07-22T16:00:00,1.21099,1.21253,1.21391,1.20673,101083
2012/07/24 00:00:00,2012-07-23T16:00:00,1.21251,1.20612,1.21448,1.20558,132873
2012/07/25 00:00:00,2012-07-24T16:00:00,1.2061,1.21315,1.21709,1.204235,150093
2012/07/26 00:00:00,2012-07-25T16:00:00,1.21314,1.22797,1.23295,1.21176,148718
2012/07/27 00:00:00,2012-07-26T16:00:00,1.22796,1.23689,1.23776,1.22418,124654
2012/07/28 00:00:00,2012-07-27T16:00:00,1.23688,1.23222,1.23902,1.22804,30022
2012/07/30 00:00:00,2012-07-29T16:00:00,1.2306,1.22492,1.231085,1.222545,82136
2012/07/31 00:00:00,2012-07-30T16:00:00,1.22493,1.23143,1.23303,1.22448,106561
2012/08/01 00:00:00,2012-07-31T16:00:00,1.23141,1.22985,1.233685,1.228045,92075
2012/08/02 00:00:00,2012-08-01T16:00:00,1.22984,1.21485,1.24049,1.21342,145728
2012/08/03 00:00:00,2012-08-02T16:00:00,1.21484,1.23893,1.23925,1.21421,119043
2012/08/06 00:00:00,2012-08-05T16:00:00,1.23878,1.2422,1.24435,1.234175,88065
2012/08/07 00:00:00,2012-08-06T16:00:00,1.24221,1.24221,1.24425,1.237595,97106
2012/08/07 00:00:00,2012-08-06T16:00:00,1.24221,1.24221,1.24425,1.237595,97106
2012/08/08 00:00:00,2012-08-07T16:00:00,1.24222,1.23642,1.242615,1.23269,98217
2012/08/09 00:00:00,2012-08-08T16:00:00,1.23641,1.22776,1.238745,1.22669,102434
2012/08/10 00:00:00,2012-08-09T16:00:00,1.22777,1.22979,1.23169,1.224125,91785
2012/08/11 00:00:00,2012-08-10T16:00:00,1.22978,1.2289,1.2303,1.2286,10180
2012/08/13 00:00:00,2012-08-12T16:00:00,1.22915,1.23396,1.23737,1.226085,72575
2012/08/14 00:00:00,2012-08-13T16:00:00,1.23394,1.23288,1.238585,1.231705,90606
2012/08/15 00:00:00,2012-08-14T16:00:00,1.23289,1.22873,1.23437,1.22642,77134
2012/08/16 00:00:00,2012-08-15T16:00:00,1.22874,1.23557,1.23687,1.22561,84734
2012/08/17 00:00:00,2012-08-16T16:00:00,1.23558,1.23135,1.23823,1.2289,88146
2012/08/18 00:00:00,2012-08-17T16:00:00,1.23136,1.2334,1.23466,1.23102,10069
2012/08/20 00:00:00,2012-08-19T16:00:00,1.23465,1.23424,1.23692,1.22954,74668
2012/08/21 00:00:00,2012-08-20T16:00:00,1.23429,1.24713,1.248785,1.2338,90090
2012/08/22 00:00:00,2012-08-21T16:00:00,1.24712,1.24723,1.24874,1.24313,93725
2012/08/23 00:00:00,2012-08-22T16:00:00,1.24721,1.25825,1.25898,1.24632,119709
2012/08/24 00:00:00,2012-08-23T16:00:00,1.25824,1.2533,1.25826,1.24817,101179
2012/08/25 00:00:00,2012-08-24T16:00:00,1.25331,1.25123,1.253835,1.25062,11225
2012/08/27 00:00:00,2012-08-26T16:00:00,1.251215,1.25142,1.253585,1.24901,59691
2012/08/27 00:00:00,2012-08-26T16:00:00,1.251215,1.25142,1.253585,1.24901,59691
2012/08/28 00:00:00,2012-08-27T16:00:00,1.25142,1.25639,1.25769,1.24653,90044
2012/08/29 00:00:00,2012-08-28T16:00:00,1.25638,1.25378,1.25754,1.25189,83778
2012/08/30 00:00:00,2012-08-29T16:00:00,1.25379,1.2497,1.256405,1.24874,84432
